GameId, Board, PlayersHands, MoveNumber, CurrentPlayer-937136906,com.gameEngine.Board@79fc0f2f,;,0,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10;blue|3 blue|13 yellow|1 yellow|7 black|12 blue|8 blue|11 red|9 red|5 blue|9 blue|7 red|10,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11;blue|3 blue|13 yellow|1 yellow|7 black|12 blue|8 blue|11 red|9 red|5 blue|9 blue|7 red|10,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11;blue|3 blue|13 yellow|1 yellow|7 black|12 blue|8 blue|11 red|9 red|5 blue|9 blue|7 red|10 red|7,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1;blue|3 blue|13 yellow|1 yellow|7 black|12 blue|8 blue|11 red|9 red|5 blue|9 blue|7 red|10 red|7,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1 yellow|13;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1 yellow|13;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1 yellow|13 black|8;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1 yellow|13 black|8;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1 yellow|13 black|8 yellow|9;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2,1,0
